"","occurrence_no","early_interval","late_interval","max_ma","max_ma_error","max_ma_method","min_ma","min_ma_error","min_ma_method","direct_ma_value","direct_ma_error","direct_ma_method","formation","member","spatial_resolution","collection_dates","research_group","ref_author","ref_pubyr"
"56437",458328,"Late Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Arcillas de Morella","","parautochthonous","1978","vertebrate","Santafé-Llopis et al. 1981",1981
"56633",458854,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Falun d'Ormoy","","","","marine invertebrate","Gitton et al. 1986",1986
"56683",458904,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Sable de Vauroux-Saint-Antoine","","","","marine invertebrate","Gitton et al. 1986",1986
"56807",460313,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Gates","Notikewin","","","marine invertebrate","Leckie 1989",1989
"56808",460638,"Eocene","",56,NA,"",33.9,NA,"",NA,NA,"","Vaca Mahuida","","","","","Melchor et al. 1992",1992
"56816",460790,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Aluginskaya","","","","marine invertebrate,micropaleontology","Gladenkov et al. 1988",1988
"56857",460833,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Okhonchevayamskaya","","","","marine invertebrate,micropaleontology","Gladenkov et al. 1988",1988
"56871",461098,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Allen","","","1912","vertebrate","Wichmann 1916",1916
"56875",461116,"Rupelian","",33.9,NA,"Sr isotope",27.3,NA,"Sr isotope",NA,NA,"","Ashley","","","","marine invertebrate,vertebrate","Kellogg 1923",1923
"56879",461439,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Kuldana","","","","marine invertebrate,vertebrate","Thewissen et al. 1994",1994
"56880",461735,"Middle Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Foremost","","parautochthonous","","vertebrate","Peng et al. 2001",2001
"56883",462429,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Domanda","","","","","Gingerich et al. 1979",1979
"56931",462485,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Bara","","","","vertebrate","Gingerich et al. 1979",1979
"56935",462501,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Giushi","","","","vertebrate","Gingerich 1992",1992
"56951",462727,"Wasatchian","",56,NA,"",51.1,NA,"",NA,NA,"","Hatchetigbee","Bash Marl","","","vertebrate","Westgate 2001",2001
"56961",463132,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Days Creek","","","1970","decapod,marine invertebrate","Feldmann 1974",1974
"56982",463519,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Meeressande","","","","marine invertebrate,vertebrate","Rothausen 1971",1971
"56987",463730,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Makah","","","","vertebrate","Goedert et al. 1995",1995
"56996",463971,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Buccleuch","","","","marine invertebrate,vertebrate","Pledge 1994",1994
"56997",464400,"Lancian","",72.2,NA,"",66,NA,"",NA,NA,"","Lance","","","","vertebrate","Breithaupt 1982",1982
"56999",464921,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","San Juan","","","","marine invertebrate","Ferrusquía-Villafranca et al. 2000",2000
"57001",465498,"Tiffanian","",60.9,NA,"",57.5,NA,"",NA,NA,"","Paskapoo","","","1965","vertebrate","Russell 1967",1967
"57036",467306,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Kunnam","","","","marine invertebrate,vertebrate","Ayyasami and Das 1990",1990
"57047",467324,"Cenomanian","Turonian",100.5,NA,"",89.8,NA,"",NA,NA,"","Wadhwan","","","","marine invertebrate","Badve 1978",1978
"57064",467733,"Middle Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Garudamangalam","Anaipadi Calcarenite","","","marine invertebrate","Ayyasami 1993",1993
"57071",467750,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Kallankurichchi","","","","marine invertebrate","Ayyasami 1989",1989
"57077",468397,"Early Berriasian","",143.1,NA,"",141,NA,"",NA,NA,"","Bugarone","superiore","","","marine invertebrate","Cecca et al. 1986",1986
"57126",468868,"Late Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Mount Laurel","","","1980","vertebrate","Baird 1984",1984
"57144",468924,"Middle Campanian","Late Campanian",83.6,NA,"",72.2,NA,"",NA,NA,"","Judith River","","parautochthonous","1964-1966","vertebrate","Sahni 1972",1972
"57151",472703,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","La Frontera","","","","marine invertebrate","Villamil 1996",1996
"57171",472727,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Khuiala","","","","marine invertebrate","Bhatia and Khosla 1978",1978
"57220",474007,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Chorgali","","","","marine invertebrate","Gill 1953",1953
"57238",474095,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Hell Creek","Little Beaver Creek","parautochthonous","1993–2003, 2010–2012","vertebrate","Colson et al. 2004",2004
"57271",474279,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Calcaire de Saint-Ouen","","","","vertebrate","Louis and Sudre 1975",1975
"57273",474478,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Toolebuc","","autochthonous","1989-1990","marine invertebrate,vertebrate","Molnar 1996",1996
"57301",474947,"Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Umzamba","","","","marine invertebrate","Kiel and Bandel 2003",2003
"57338",474984,"Late Barremian","Early Albian",125.77,NA,"",110.1,NA,"",NA,NA,"","Dajiashan","Upper","","","marine invertebrate","Jiang et al. 2004",2004
"57344",474991,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Farin Doutchi","","","","marine invertebrate","Zaborski and Morris 1999",1999
"57367",475018,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Guinea Corn","","","","marine invertebrate","Mitchell et al. 2004",2004
"57402",478874,"Early Berriasian","",143.1,NA,"",141,NA,"",NA,NA,"","Chigan","","","","marine invertebrate","Sey and Kalacheva 1999",1999
"57474",479753,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Dinosaur Park","","autochthonous","28 August 1984","vertebrate","Eberth et al. 1988",1988
"57475",479894,"Bartonian","Priabonian",41.03,NA,"",33.9,NA,"",NA,NA,"","Gehlberg","","","","marine invertebrate,vertebrate","Van Beneden 1883",1883
"57481",480653,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Kaninah","","","","vertebrate","As-Saruri et al. 1999",1999
"57573",484098,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Port Willunga","South Maslin Sand","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57574",484099,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Werillup","","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57583",484108,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Blanche Point","","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57605",484130,"Middle Eocene","Late Eocene",48.07,NA,"",33.9,NA,"",NA,NA,"","Tortachilla Limestone","","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57607",484132,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Pallinup Siltstone","","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57655",485186,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Browns Creek","Upper","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57682",485998,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Glen Aire Clay","Lower","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57693",486157,"Early Oligocene","Late Oligocene",33.9,NA,"",23.04,NA,"",NA,NA,"","Freestone Cove Sandstone","","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57695",486159,"Chattian","",27.3,NA,"other",23.04,NA,"other",NA,NA,"","Jan Juc","","","","marine invertebrate","Darragh and Kendrick 2000",2000
"57699",487594,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Bacolet","","","","marine invertebrate","Snoke and Noble 2001",2001
"58089",494135,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Amaninskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58152",494420,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Gakkhinskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58234",494514,"Danian","Thanetian",66,NA,"",56,NA,"",NA,NA,"","Getkilninskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58270",495353,"Danian","Thanetian",66,NA,"",56,NA,"",NA,NA,"","Kamchikskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58330",495771,"Lutetian","Bartonian",48.07,NA,"",37.71,NA,"",NA,NA,"","Snatol'skaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58360",495971,"Casamayoran","",56,NA,"",48,NA,"",NA,NA,"","Casamayor","","","","marine invertebrate","Tournouër 1903",1903
"58451",496197,"Eocene","",56,NA,"",33.9,NA,"",NA,NA,"","Tkapravayamskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58482",496229,"Rupelian","Aquitanian",33.9,NA,"",20.45,NA,"",NA,NA,"","Tyushevskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58508",496281,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Viventekskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58529",496478,"Priabonian","Rupelian",37.71,NA,"",27.3,NA,"",NA,NA,"","Astronomicheskogo Mysa","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58532",496497,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Il'khatunskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58533",496498,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Ionayskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58556",496521,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Khulgunskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58568",496552,"Lutetian","Bartonian",48.07,NA,"",37.71,NA,"",NA,NA,"","Kilakirnunskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58574",496566,"Lutetian","Bartonian",48.07,NA,"",37.71,NA,"",NA,NA,"","Kozlovskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58576",496568,"Eocene","",56,NA,"",33.9,NA,"",NA,NA,"","Kylanskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58592",496595,"Oligocene","",33.9,NA,"",23.04,NA,"",NA,NA,"","Mallenskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58599",496612,"Lutetian","Priabonian",48.07,NA,"",33.9,NA,"",NA,NA,"","Mysa Tons","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58601",496614,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Napanskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58611",496624,"Lutetian","Priabonian",48.07,NA,"",33.9,NA,"",NA,NA,"","Niklekuyul'skaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58617",496630,"Bartonian","Priabonian",41.03,NA,"",33.9,NA,"",NA,NA,"","Ol'khovskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58620",496633,"Lutetian","Priabonian",48.07,NA,"",33.9,NA,"",NA,NA,"","Ommayskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58623",496667,"Bartonian","Priabonian",41.03,NA,"",33.9,NA,"",NA,NA,"","Rateginskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58638",496686,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Hump Ridge Coal Measures","","","","marine invertebrate","Beu et al. 1990",1990
"58640",496709,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Otaio Gorge Sandstone","","","","marine invertebrate","Beu et al. 1990",1990
"58670",496782,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Broken River","","","","marine invertebrate","Beu et al. 1990",1990
"58698",496816,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Otaio Limonitic Greensand","","","","marine invertebrate","Beu et al. 1990",1990
"58709",496890,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Unel'skaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58723",496904,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Utkholokskaya","","","","marine invertebrate","Kafanov and Ogasawara 2004",2004
"58750",497206,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Wangaloa","","","","marine invertebrate","Harrington 1958",1958
"58840",497734,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Rizan Aneiza","","","","marine invertebrate,micropaleontology","Steuber and Bachmann 2002",2002
"58847",497747,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Halal","","","","marine invertebrate","Steuber and Bachmann 2002",2002
"58871",498317,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Gambier Limestone","Camelback","","","marine invertebrate,vertebrate","Glaessner 1955",1955
"58895",498627,"Late Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Schrattenkalk","Unterer Schrattenkalk","","","marine invertebrate,micropaleontology","Scholz 1984",1984
"59013",500148,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Pomahaka","","","","marine invertebrate","Wood 1956",1956
"59026",500163,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Chatton","","","","marine invertebrate","Wood 1956",1956
"59055",500194,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Schrambach","","","","marine invertebrate","Lukeneder and Tanabe 2002",2002
"59072",500240,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Naseby Greensand","","","","marine invertebrate","Williamson 1939",1939
"59246",500432,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Maiolica","","","","marine invertebrate","Cecca et al. 1994",1994
"59278",501444,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Qihulin","","","","marine invertebrate","Sha et al. 2003",2003
"59281",501913,"Waipawan","",56,NA,"",52,NA,"",NA,NA,"","Tutuiri Greensand","","","","marine invertebrate","Campbell et al. 1993",1993
"59285",502194,"Waipawan","",56,NA,"",52,NA,"",NA,NA,"","Tumaio Limestone","","","","marine invertebrate","Campbell et al. 1993",1993
"59291",502335,"Waipawan","",56,NA,"",52,NA,"",NA,NA,"","Red Bluff Tuff","","","","marine invertebrate","Campbell et al. 1993",1993
"59867",508517,"Late Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Adamantina","","","1970","vertebrate","Powell 2003",2003
"59868",508570,"Middle Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Bagua","Fundo El Triunfo","","","vertebrate","Mourier et al. 1988",1988
"59910",512815,"Late Tithonian","Berriasian",145.06,NA,"",137.05,NA,"",NA,NA,"","Anchorage","","","","marine invertebrate","Kiessling et al. 1999",1999
"59915",513244,"Valanginian","Hauterivian",137.05,NA,"",125.77,NA,"",NA,NA,"","Marfim","","","1859","vertebrate","Allport 1860",1860
"59965",514884,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Pawpaw","","","1989","marine invertebrate,vertebrate","Jacobs et al. 1994",1994
"59978",515001,"Selandian","Thanetian",61.66,NA,"",56,NA,"",NA,NA,"","Hangu","Hangu Shale","","","marine invertebrate","Cox 1930",1930
"60028",515085,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Waihao","","","","marine invertebrate","Wellman 1953",1953
"60046",515370,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","De Queen","","autochthonous","1983","marine invertebrate,vertebrate","Pittman and Gillette 1989",1989
"60048",515624,"Danian","Thanetian",66,NA,"",56,NA,"",NA,NA,"","Logansport","","","","GCP,marine invertebrate","LeBlanc and Barry 1941",1941
"60134",515866,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Cowlitz","","autochthonous","","marine invertebrate","Nesbitt 1995",1995
"60311",516345,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Bushnell Rock","Slater Creek","","","marine invertebrate","Wells et al. 2000",2000
"60328",516363,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Tenmile","","","","marine invertebrate","Wells et al. 2000",2000
"60338",516373,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Camas Valley","","","","marine invertebrate","Wells et al. 2000",2000
"60345",516382,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","White Tail Ridge","Berrry Creek","","","marine invertebrate","Wells et al. 2000",2000
"60424",516475,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Dotham","","","","marine invertebrate","Wells et al. 2000",2000
"60426",516621,"Late Hauterivian","Aptian",132.6,NA,"",113.2,NA,"",NA,NA,"","Okurodani","","parautochthonous","1990–1994","vertebrate","Evans et al. 1998",1998
"60705",517029,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Rincon","Lower","","","marine invertebrate","Weaver 1969",1969
"60835",517192,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Meganos","","","","marine invertebrate","Clark and Woodford 1927",1927
"61095",517484,"Waipawan","",56,NA,"",52,NA,"",NA,NA,"","Te Whanga Limestone","Matanginui Limestone","","","marine invertebrate","Campbell et al. 1993",1993
"61103",517623,"Early Campanian","Middle Campanian",83.6,NA,"",72.2,NA,"",NA,NA,"","Woodbury","","allochthonous","1838–1858","vertebrate","Leidy 1865",1865
"61142",517733,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Saman","","","","marine invertebrate","Olsson 1930",1930
"61182",517777,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Verdun","Lagunitas Sandstone","","","marine invertebrate","Olsson 1930",1930
"61207",517808,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Talara","Talara Shale","","","marine invertebrate","Olsson 1930",1930
"61371",518089,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Silverado","","","","marine invertebrate","Schoellhamer et al. 1981",1981
"61448",518172,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Martinez","","","","marine invertebrate","Weaver 1949",1949
"61562",518313,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Tumey","","","","marine invertebrate","Zimmerman 1944",1944
"61618",518371,"Lutetian","Bartonian",48.07,NA,"",37.71,NA,"",NA,NA,"","Kreyenhagen","","","","marine invertebrate","Zimmerman 1944",1944
"61630",518741,"Early Eocene","Late Eocene",56,NA,"",33.9,NA,"",NA,NA,"","Rio Turbio","","","","marine invertebrate","Griffin 1991",1991
"61993",519278,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","San Emigdio","","","","marine invertebrate","Nilsen 1987",1987
"62019",519305,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Tejon","","","","marine invertebrate","Nilsen 1987",1987
"62145",519631,"Late Aptian","Early Albian",119.57,NA,"",110.1,NA,"",NA,NA,"","Hasandong","","parautochthonous","","vertebrate","Park et al. 2000",2000
"62165",519935,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Glen Rose Limestone","","","","marine invertebrate","Young 1974",1974
"62167",519978,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Cow Creek Limestone","","","","marine invertebrate","Young 1974",1974
"62170",520013,"Puercan","Torrejonian",66,NA,"",60.9,NA,"",NA,NA,"","Nacimiento","","","","paleobotany","Brown 1962",1962
"62216",520510,"Bridgerian","",51.1,NA,"",45.9,NA,"",46.92,0.17,"unknown","Bridger","","","","vertebrate","McKenna et al. 1962",1962
"62219",520562,"Early Eocene","",56,NA,"",48.07,NA,"",NA,NA,"","Wasatch","","","","paleobotany","Manchester 2002",2002
"62221",520575,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Dawson arkose","","","","paleobotany","Brown 1962",1962
"62222",520587,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Animas","","","","paleobotany","Brown 1962",1962
"62225",520680,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Denver?","","","","paleobotany","Brown 1962",1962
"62239",521320,"Puercan","",66,NA,"",63.4,NA,"",NA,NA,"","Tullock","Collins Ranch","","","vertebrate","Van Valen and Sloan 1965",1965
"62246",521620,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Dakota","upper sandstone","","","marine invertebrate","Kirkland 1996",1996
"62251",521625,"Middle Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Toreva","Blue Point Tongue","","","marine invertebrate","Kirkland 1996",1996
"62285",528131,"Late Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Sierra Perenchiza","","","","vertebrate","Company Rodríguez et al. 2005",2005
"62421",529519,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Frenchman","","autochthonous","1991-2003","vertebrate","Tokaryk and Bryant 2004",2004
"62568",533876,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Linz","","","","marine invertebrate","Harzhauser and Mandic 2001",2001
"62604",533925,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Pielach","","","","marine invertebrate","Harzhauser and Mandic 2001",2001
"62624",533965,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Cerro del Pueblo","","parautochthonous","1975-1993","vertebrate","Hernández and Kirkland 1993",1993
"62634",535200,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Arén","","autochthonous","1955, 1958","vertebrate","Sander et al. 1998",1998
"62635",535904,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Chira","","","","marine invertebrate","Olsson 1931",1931
"62690",535967,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Mancora","","","","marine invertebrate","Olsson 1931",1931
"62744",536022,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Mirador","","","","marine invertebrate","Olsson 1931",1931
"62782",536454,"Late Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Paja","","","","marine invertebrate,vertebrate","Hampe 2005",2005
"62811",536763,"Late Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Rossfeld","","parautochthonous","","marine invertebrate,paleobotany","Lukeneder 2005",2005
"62838",537686,"Late Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Kuhnpasset","","","","marine invertebrate","Kelly et al. 2000",2000
"62908",538204,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Kieselkalk","Gemsmättli","","","marine invertebrate","Kollmann 2002",2002
"62924",538222,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Mount Goodenough","Upper","","","marine invertebrate","Jeletzky 1958",1958
"62936",538235,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Lower Shale-Siltstone","Lower","","","marine invertebrate","Jeletzky 1958",1958
"62959",538296,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Rat River","","","","marine invertebrate","Jeletzky 1958",1958
"62976",538316,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Lower Sandstone","Buff Sandstone","","","marine invertebrate","Jeletzky 1958",1958
"63014",538445,"Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Dark Grey Siltstone","","","","marine invertebrate","Jeletzky 1961",1961
"63016",538447,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Bluish Grey Shale","","","","marine invertebrate","Jeletzky 1961",1961
"63035",538492,"Berriasian","Valanginian",143.1,NA,"",132.6,NA,"",NA,NA,"","White and Coaly Quartzite","","","","marine invertebrate","Jeletzky 1975",1975
"63036",538500,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Upper Sandstone","","","","marine invertebrate","Jeletzky 1975",1975
"63037",538501,"Hauterivian","Barremian",132.6,NA,"",121.4,NA,"",NA,NA,"","Upper Shale-Siltstone Division","","","","marine invertebrate","Jeletzky 1975",1975
"63038",538502,"Berriasian","Valanginian",143.1,NA,"",132.6,NA,"",NA,NA,"","White and Coaly Quartzite Division","","","","marine invertebrate","Jeletzky 1975",1975
"63039",538509,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","North Branch","","","","marine invertebrate","Jeletzky 1975",1975
"63195",540311,"Turonian","Coniacian",93.9,NA,"",85.7,NA,"",NA,NA,"","Mancos/Gullup","","","","vertebrate","Kues et al. 1977",1977
"63202",540426,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Grès verts helvétiques","Bostan","","","marine invertebrate","Delamette et al. 1997",1997
"63332",540976,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Calcaires de Fiz","","","","marine invertebrate","Delamette et al. 1997",1997
"63530",542395,"Middle Albian","",110.1,NA,"",106.3,NA,"",NA,NA,"","Napo","Lower Napo Shales","","","marine invertebrate","Bulot et al. 2005",2005
"63677",544023,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Couches de Balme","","","","marine invertebrate","Delamette et al. 1997",1997
"63678",544024,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Couches du Freu","","","","marine invertebrate","Delamette et al. 1997",1997
"63705",544303,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Inca","","","","marine invertebrate","Benavides-Caceres 1956",1956
"63710",544309,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Chulec","","","","marine invertebrate","Kennedy and Klinger 2008",2008
"63718",544318,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Yumagual","","","","marine invertebrate","Benavides-Caceres 1956",1956
"63723",544323,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Mujarrun","Choro","","","marine invertebrate","Benavides-Caceres 1956",1956
"63729",544331,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Romiron","","","","marine invertebrate","Benavides-Caceres 1956",1956
"63730",544332,"Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Conor","","","","marine invertebrate","Benavides-Caceres 1956",1956
"63735",544338,"Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Cajamarca","","","","marine invertebrate","Benavides-Caceres 1956",1956
"63740",544496,"Hauterivian","Barremian",132.6,NA,"",121.4,NA,"",NA,NA,"","Carhuaz","","","","marine invertebrate","Benavides-Caceres 1956",1956
"63744",544500,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Santa","","","","marine invertebrate","Benavides-Caceres 1956",1956
"63788",545166,"Late Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Brokenback Hill","","","","marine invertebrate","Arthur et al. 1993",1993
"63837",545791,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Lo Valdés","Units IV-VI","","","marine invertebrate","Hallam et al. 1986",1986
"63865",545982,"Danian","Selandian",66,NA,"",59.24,NA,"",NA,NA,"","Lefipan","","","","marine invertebrate","Kiessling et al. 2005",2005
